occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso
53,occ,NA,NA,20,Pentremites,genus,30913,Chesterian,,339.4,318.1,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,godoni,
54,occ,NA,NA,21,Pentremites,genus,30913,Chesterian,,339.4,318.1,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,godoni,
55,occ,NA,NA,22,Pentremites,genus,30913,Pendleian,,326.4,318.1,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,tulipaformis,
56,occ,NA,NA,23,Pentremites,genus,30913,Chesterian,,339.4,318.1,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,tulipiaformis,
57,occ,NA,NA,24,Pentremites,genus,30913,Serpukhovian,,330.9,323.2,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,tulipaformis,
58,occ,NA,NA,25,Pentremites,genus,30913,Brigantian,,336,326.4,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,tulipaformis,
59,occ,NA,NA,26,Pentremites,genus,30913,Chesterian,,339.4,318.1,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,elegans,
60,occ,NA,NA,27,Pentremites,genus,30913,Chesterian,,339.4,318.1,5,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Pentremites,30913,NA,Pentremites,,,NA,robustus,
153,occ,NA,NA,59,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
155,occ,NA,NA,60,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
157,occ,NA,NA,61,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
159,occ,NA,NA,62,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
161,occ,NA,NA,63,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
163,occ,NA,NA,64,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
165,occ,NA,NA,65,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
167,occ,NA,NA,66,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
169,occ,NA,NA,67,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
171,occ,NA,NA,68,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
173,occ,NA,NA,69,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
175,occ,NA,NA,70,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
177,occ,NA,NA,71,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
179,occ,NA,NA,72,Agaricocrinus,genus,31688,Chadian,Arundian,345.3,342.8,11,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,NO_FAMILY_SPECIFIED,NF,Agaricocrinus,31688,NA,Agaricocrinus,,,NA,americanus,
1183,occ,NA,NA,177,Helicoplacus,genus,30817,Caerfai,,530,513,60929,Echinodermata,30739,Helicoplacoidea,30816,NO_ORDER_SPECIFIED,NO,Helicoplacidae,151500,Helicoplacus,30817,NA,Helicoplacus,,,NA,sp.,
1317,occ,NA,NA,191,Eocystites,genus,31073,Caerfai,,530,513,56540,Echinodermata,30739,Eocrinoidea,31058,Ascocystitida,31070,NO_FAMILY_SPECIFIED,NF,Eocystites,31073,NA,Eocystites,,,NA,sp.,
1336,occ,NA,NA,192,Lepidocystis,genus,31061,Dyeran,,516,513,32149,Echinodermata,30739,Eocrinoidea,31058,Imbricata,31059,NO_FAMILY_SPECIFIED,NF,Lepidocystis,31061,NA,Lepidocystis,,,NA,sp.,
1512,occ,NA,NA,203,Eocystites,genus,31073,Ordian,,516,513,51517,Echinodermata,30739,Eocrinoidea,31058,Ascocystitida,31070,NO_FAMILY_SPECIFIED,NF,Eocystites,31073,NA,Eocystites,,,NA,sp.,
1520,occ,NA,NA,203,Cymbionites,genus,31087,Ordian,,516,513,51517,Echinodermata,30739,Eocrinoidea,31058,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Cymbionites,31087,NA,Cymbionites,,,NA,sp.,
1521,occ,NA,NA,203,Peridionites,genus,31093,Ordian,,516,513,51517,Echinodermata,30739,Eocrinoidea,31058,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Peridionites,31093,NA,Peridionites,,,NA,sp.,
1536,occ,NA,NA,205,Gogia,genus,31066,Merioneth,,501,485.4,60996,Echinodermata,30739,Eocrinoidea,31058,Gogiida,31062,Eocrinidae,120077,Gogia,31066,NA,Eocrinus,,,NA,sp.,
1579,occ,NA,NA,207,Gogia,genus,31066,Delamaran,,513,505,32150,Echinodermata,30739,Eocrinoidea,31058,Gogiida,31062,Eocrinidae,120077,Gogia,31066,NA,Eocrinus,,,NA,sp.,
1666,occ,NA,NA,215,Gogia,genus,31066,St Davids,,513,501,61174,Echinodermata,30739,Eocrinoidea,31058,Gogiida,31062,Eocrinidae,120077,Gogia,31066,NA,Gogia,,,NA,sp.,
1700,occ,NA,NA,216,Gogia,genus,31066,St Davids,,513,501,61118,Echinodermata,30739,Eocrinoidea,31058,Gogiida,31062,Eocrinidae,120077,Gogia,31066,NA,Gogia,,,NA,sp.,
2260,occ,NA,NA,261,Castericystis,genus,31139,Marjumian,,513,498.5,41089,Echinodermata,30739,Soluta,31137,Syringocrinida,362325,NO_FAMILY_SPECIFIED,NF,Castericystis,31139,NA,Castericystis,,,NA,vali,n. sp.
2261,occ,NA,NA,261,Marjumicystis,genus,31092,Marjumian,,513,498.5,41089,Echinodermata,30739,Eocrinoidea,31058,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Marjumicystis,31092,NA,Marjumicystis,,,NA,mettae,n. sp.
2715,occ,NA,NA,296,Petalocystites,genus,31094,Darriwilian,,467.3,458.4,61151,Echinodermata,30739,Eocrinoidea,31058,NO_ORDER_SPECIFIED,NO,Rhipidocystidae,177425,Petalocystites,31094,NA,Petalocystites,,,NA,sp.,
2716,occ,NA,NA,296,Pleurocystites,genus,30988,Darriwilian,,467.3,458.4,61151,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Pleurocystitidae,259429,Pleurocystites,30988,NA,Pleurocystites,,,NA,sp.,
2717,occ,NA,NA,296,Blastoidocrinus,genus,30935,Darriwilian,,467.3,458.4,61151,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,Parablastoidea,30933,Blastocystidae,348886,Blastoidocrinus,30935,NA,Blastoidocrinus,,,NA,sp.,
2875,occ,NA,NA,305,Bolboporites,genus,31082,Chazyan,,468.1,460.9,60945,Echinodermata,30739,Eocrinoidea,31058,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Bolboporites,31082,NA,Bolboporites,,,NA,sp.,
2876,occ,NA,NA,305,Palaeocystites,genus,31067,Chazyan,,468.1,460.9,60945,Echinodermata,30739,Eocrinoidea,31058,Gogiida,31062,NO_FAMILY_SPECIFIED,NF,Palaeocystites,31067,NA,Palaeocystites,,,NA,sp.,
2877,occ,NA,NA,305,Blastoidocrinus,genus,30935,Chazyan,,468.1,460.9,60945,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,Parablastoidea,30933,Blastocystidae,348886,Blastoidocrinus,30935,NA,Blastoidocrinus,,,NA,sp.,
2916,occ,NA,NA,307,Bolboporites,genus,31082,Chazyan,,468.1,460.9,60945,Echinodermata,30739,Eocrinoidea,31058,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Bolboporites,31082,NA,Bolboporites,,,NA,sp.,
2917,occ,NA,NA,307,Cheirocrinus,genus,30949,Chazyan,,468.1,460.9,60945,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Cheirocrinidae,288856,Cheirocrinus,30949,NA,Cheirocrinus,,,NA,sp.,
2918,occ,NA,NA,307,Palaeocystites,genus,31067,Chazyan,,468.1,460.9,60945,Echinodermata,30739,Eocrinoidea,31058,Gogiida,31062,NO_FAMILY_SPECIFIED,NF,Palaeocystites,31067,NA,Palaeocystites,,,NA,sp.,
2919,occ,NA,NA,307,Malocystites,genus,31120,Chazyan,,468.1,460.9,60945,Echinodermata,30739,Paracrinoidea,31106,Platycystitida,31118,Malocystitidae,378301,Malocystites,31120,NA,Malocystites,,,NA,sp.,
2997,occ,NA,NA,311,Bolboporites,genus,31082,Chazyan,,468.1,460.9,60944,Echinodermata,30739,Eocrinoidea,31058,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Bolboporites,31082,NA,Bolboporites,,,NA,sp.,
2998,occ,NA,NA,311,Cheirocrinus,genus,30949,Chazyan,,468.1,460.9,60944,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Cheirocrinidae,288856,Cheirocrinus,30949,NA,Cheirocrinus,,,NA,sp.,
2999,occ,NA,NA,311,Palaeocystites,genus,31067,Chazyan,,468.1,460.9,60944,Echinodermata,30739,Eocrinoidea,31058,Gogiida,31062,NO_FAMILY_SPECIFIED,NF,Palaeocystites,31067,NA,Palaeocystites,,,NA,sp.,
3000,occ,NA,NA,311,Blastoidocrinus,genus,30935,Chazyan,,468.1,460.9,60944,Echinodermata,30739,NO_CLASS_SPECIFIED,NC,Parablastoidea,30933,Blastocystidae,348886,Blastoidocrinus,30935,NA,Blastoidocrinus,,,NA,sp.,
3001,occ,NA,NA,311,Canadocystis,genus,31111,Chazyan,,468.1,460.9,60944,Echinodermata,30739,Paracrinoidea,31106,Platycystitida,31118,Platycystitidae,377601,Canadocystis,31111,NA,Canadocystis,,,NA,sp.,
3002,occ,NA,NA,311,Malocystites,genus,31120,Chazyan,,468.1,460.9,60944,Echinodermata,30739,Paracrinoidea,31106,Platycystitida,31118,Malocystitidae,378301,Malocystites,31120,NA,Malocystites,,,NA,sp.,
3021,occ,NA,NA,311,Palaeocrinus,genus,32291,Chazyan,,468.1,460.9,60944,Echinodermata,30739,Crinoidea,31590,Porocrinida,372307,NO_FAMILY_SPECIFIED,NF,Palaeocrinus,32291,NA,Palaeocrinus,,,NA,sp.,
3188,occ,NA,NA,319,Coronocystis,genus,30953,Middle Ordovician,,470,458.4,42189,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Cheirocrinidae,288856,Coronocystis,30953,NA,Coronocystis,,,NA,sp.,
3190,occ,NA,NA,319,Apodasmocrinus,genus,31884,Middle Ordovician,,470,458.4,42189,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Homocrinidae,86728,Apodasmocrinus,31884,NA,Apodasmocrinus,,,NA,sp.,
3334,occ,NA,NA,326,Echinosphaerites,genus,30959,Caradoc,,460.9,449.5,60897,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Echinosphaeritidae,306320,Echinosphaerites,30959,NA,Echinosphaerites,,,NA,sp.,
3418,occ,NA,NA,330,Lichenocrinus,genus,103248,Trentonian,,460.9,449.5,21939,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Lichenocrinus,103248,NA,Lichenocrinus,,,NA,sp.,
3507,occ,NA,NA,332,Schizocrinus,genus,31843,Ordovician,,485.4,443.4,25788,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,Glyptocrinidae,372322,Schizocrinus,31843,NA,Schizocrinus,,,NA,sp.,
3555,occ,NA,NA,333,Glyptocrinus,genus,31771,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,Glyptocrinidae,372322,Glyptocrinus,31771,NA,Glyptocrinus,,,NA,sp.,
3556,occ,NA,NA,333,Schizocrinus,genus,31843,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,Glyptocrinidae,372322,Schizocrinus,31843,NA,Schizocrinus,,,NA,sp.,
3575,occ,NA,NA,333,Cheirocrinus,genus,30949,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Cheirocrinidae,288856,Cheirocrinus,30949,NA,Cheirocrinus,,,NA,sp.,
3576,occ,NA,NA,333,Cincinnaticrinus,genus,31902,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Cincinnaticrinidae,103460,Cincinnaticrinus,31902,NA,Cincinnaticrinus,,,NA,sp.,
3577,occ,NA,NA,333,Dendrocrinus,genus,32134,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Dendrocrinida,123537,Dendrocrinidae,86727,Dendrocrinus,32134,NA,Dendrocrinus,,,NA,sp.,
3578,occ,NA,NA,333,Iocrinus,genus,31940,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Myelodactylida,320298,Iocrinidae,319910,Iocrinus,31940,NA,Iocrinus,,,NA,sp.,
3579,occ,NA,NA,333,Reteocrinus,genus,31657,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Reteocrinidae,343280,Reteocrinus,31657,NA,Reteocrinus,,,NA,sp.,
3612,occ,NA,NA,334,Cupulocrinus,genus,32124,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Cupulocrinidae,86729,Cupulocrinus,32124,NA,Cupulocrinus,,,NA,sp.,
3613,occ,NA,NA,334,Dendrocrinus,genus,32134,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Dendrocrinida,123537,Dendrocrinidae,86727,Dendrocrinus,32134,NA,Dendrocrinus,,,NA,sp.,
3614,occ,NA,NA,334,Ectenocrinus,genus,31918,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Homocrinidae,86728,Ectenocrinus,31918,NA,Ectenocrinus,,,NA,sp.,
3615,occ,NA,NA,334,Glyptocrinus,genus,31771,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,Glyptocrinidae,372322,Glyptocrinus,31771,NA,Glyptocrinus,,,NA,sp.,
3616,occ,NA,NA,334,Heterocrinus,genus,31934,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Heterocrinidae,328581,Heterocrinus,31934,NA,Heterocrinus,,,NA,sp.,
3635,occ,NA,NA,334,Cincinnaticrinus,genus,31902,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Cincinnaticrinidae,103460,Cincinnaticrinus,31902,NA,Cincinnaticrinus,,,NA,sp.,
3636,occ,NA,NA,334,Iocrinus,genus,31940,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Myelodactylida,320298,Iocrinidae,319910,Iocrinus,31940,NA,Iocrinus,,,NA,sp.,
3637,occ,NA,NA,334,Merocrinus,genus,32248,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Merocrinidae,372300,Merocrinus,32248,NA,Merocrinus,,,NA,sp.,
3638,occ,NA,NA,334,Reteocrinus,genus,31657,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Reteocrinidae,343280,Reteocrinus,31657,NA,Reteocrinus,,,NA,sp.,
3639,occ,NA,NA,334,Schizocrinus,genus,31843,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,Glyptocrinidae,372322,Schizocrinus,31843,NA,Schizocrinus,,,NA,sp.,
3640,occ,NA,NA,334,Cheirocrinus,genus,30949,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Cheirocrinidae,288856,Cheirocrinus,30949,NA,Cheirocrinus,,,NA,sp.,
3668,occ,NA,NA,335,Iocrinus,genus,31940,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Myelodactylida,320298,Iocrinidae,319910,Iocrinus,31940,NA,Iocrinus,,,NA,sp.,
3669,occ,NA,NA,335,Heterocrinus,genus,31934,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Heterocrinidae,328581,Heterocrinus,31934,NA,Heterocrinus,,,NA,sp.,
3670,occ,NA,NA,335,Lichenocrinus,genus,103248,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Lichenocrinus,103248,NA,Lichenocrinus,,,NA,sp.,
3684,occ,NA,NA,335,Cincinnaticrinus,genus,31902,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Cincinnaticrinidae,103460,Cincinnaticrinus,31902,NA,Cincinnaticrinus,,,NA,sp.,
3685,occ,NA,NA,335,Ectenocrinus,genus,31918,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Homocrinidae,86728,Ectenocrinus,31918,NA,Ectenocrinus,,,NA,sp.,
3686,occ,NA,NA,335,Merocrinus,genus,32248,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Merocrinidae,372300,Merocrinus,32248,NA,Merocrinus,,,NA,sp.,
3687,occ,NA,NA,335,Cheirocrinus,genus,30949,Middle Ordovician,,470,458.4,61112,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Cheirocrinidae,288856,Cheirocrinus,30949,NA,Cheirocrinus,,,NA,sp.,
3708,occ,NA,NA,336,Isorophusella,genus,30778,Caradoc,,460.9,449.5,60947,Echinodermata,30739,Edrioasteroidea,30743,NO_ORDER_SPECIFIED,NO,Isorophidae,371481,Isorophusella,30778,NA,Isorophusella,,,NA,sp.,
3709,occ,NA,NA,336,Cryptogoleus,genus,30758,Caradoc,,460.9,449.5,60947,Echinodermata,30739,Edrioasteroidea,30743,Isorophida,30744,NO_FAMILY_SPECIFIED,NF,Cryptogoleus,30758,NA,Cryptogoleus,,,NA,sp.,
3710,occ,NA,NA,336,Ottawacrinus,genus,32286,Caradoc,,460.9,449.5,60947,Echinodermata,30739,Crinoidea,31590,Dendrocrinida,123537,Dendrocrinidae,86727,Ottawacrinus,32286,NA,Ottawacrinus,,,NA,sp.,
3711,occ,NA,NA,336,Glyptocystites,genus,30965,Caradoc,,460.9,449.5,60947,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Glyptocystitidae,331416,Glyptocystites,30965,NA,Glyptocystites,,,NA,sp.,
3712,occ,NA,NA,336,Cupulocrinus,genus,32124,Caradoc,,460.9,449.5,60947,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Cupulocrinidae,86729,Cupulocrinus,32124,NA,Cupulocrinus,,,NA,sp.,
3759,occ,NA,NA,337,Heterocrinus,genus,31934,Chatfieldian,,460.9,449.5,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Heterocrinidae,328581,Heterocrinus,31934,NA,Heterocrinus,,,NA,sp.,
3760,occ,NA,NA,337,Merocrinus,genus,32248,Chatfieldian,,460.9,449.5,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Merocrinidae,372300,Merocrinus,32248,NA,Merocrinus,,,NA,sp.,
3761,occ,NA,NA,337,Lichenocrinus,genus,103248,Chatfieldian,,460.9,449.5,61112,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Lichenocrinus,103248,NA,Lichenocrinus,,,NA,sp.,
3762,occ,NA,NA,337,Dendrocystites,genus,31143,Chatfieldian,,460.9,449.5,61112,Echinodermata,30739,Soluta,31137,Dendrocystitida,259344,NO_FAMILY_SPECIFIED,NF,Dendrocystites,31143,NA,Dendrocystites,,,NA,sp.,
3774,occ,NA,NA,337,Cincinnaticrinus,genus,31902,Chatfieldian,,460.9,449.5,61112,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Cincinnaticrinidae,103460,Cincinnaticrinus,31902,NA,Cincinnaticrinus,,,NA,varibrachialis,
3952,occ,NA,NA,349,Heterocrinus,genus,31934,Edenian,,460.9,449.5,60930,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,Heterocrinidae,328581,Heterocrinus,31934,NA,Heterocrinus,,,NA,sp.,
3953,occ,NA,NA,349,Ectenocrinus,genus,31918,Edenian,,460.9,449.5,60930,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Homocrinidae,86728,Ectenocrinus,31918,NA,Ectenocrinus,,,NA,sp.,
3987,occ,NA,NA,350,Carneyella,genus,30753,Maysville,,452,445.6,60930,Echinodermata,30739,Edrioasteroidea,30743,NO_ORDER_SPECIFIED,NO,Hemicystitidae,241691,Carneyella,30753,NA,Carneyella,,,NA,sp.,
4402,occ,NA,NA,367,Iocrinus,genus,31940,Richmond,,449.5,445.6,61146,Echinodermata,30739,Crinoidea,31590,Myelodactylida,320298,Iocrinidae,319910,Iocrinus,31940,NA,Iocrinus,,,NA,sp.,
4448,occ,NA,NA,368,Iocrinus,genus,31940,Richmondian,,449.5,443.7,61146,Echinodermata,30739,Crinoidea,31590,Myelodactylida,320298,Iocrinidae,319910,Iocrinus,31940,NA,Iocrinus,,,NA,sp.,
4468,occ,NA,NA,369,Ectenocrinus,genus,31918,Edenian,,460.9,449.5,36817,Echinodermata,30739,Crinoidea,31590,Homocrinida,259489,Homocrinidae,86728,Ectenocrinus,31918,NA,Ectenocrinus,,,NA,sp.,
4504,occ,12724,NA,372,Lichenocrinus,genus,103248,Richmondian,,449.5,443.7,11467,Echinodermata,30739,Crinoidea,31590,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Lichenocrinus,103248,NA,Lichenocrinus,,,NA,tuberculata,
4505,occ,12725,NA,372,Isorophus,genus,30777,Richmondian,,449.5,443.7,11467,Echinodermata,30739,Edrioasteroidea,30743,NO_ORDER_SPECIFIED,NO,Isorophidae,371481,Isorophus,30777,NA,Isorophus,,,NA,austini,
4532,occ,NA,NA,373,Lepadocystis,genus,30975,Richmondian,,449.5,443.7,61146,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Callocystitidae,259426,Lepadocystis,30975,NA,Lepadocystis,,,NA,sp.,
4587,occ,NA,NA,377,Xenocrinus,genus,31872,Richmondian,,449.5,443.7,61146,Echinodermata,30739,Crinoidea,31590,Monobathrida,31678,Xenocrinidae,388006,Xenocrinus,31872,NA,Xenocrinus,,,NA,sp.,
4588,occ,NA,NA,377,Dendrocrinus,genus,32134,Richmondian,,449.5,443.7,61146,Echinodermata,30739,Crinoidea,31590,Dendrocrinida,123537,Dendrocrinidae,86727,Dendrocrinus,32134,NA,Dendrocrinus,,,NA,sp.,
4712,occ,NA,NA,380,Anatifopsis,genus,19061,Caradoc,,460.9,449.5,17052,Echinodermata,30739,Stylophora,31153,Mitrata,31183,Kirkocystidae,256868,Anatifopsis,19061,NA,Anatifopsis,,,NA,sp.,
4738,occ,NA,NA,382,Lepadocystis,genus,30975,Richmondian,,449.5,443.7,61180,Echinodermata,30739,Rhombifera,30938,NO_ORDER_SPECIFIED,NO,Callocystitidae,259426,Lepadocystis,30975,NA,Lepadocystis,,,NA,sp.,
4739,occ,NA,NA,382,Diamphidiocystis,genus,31196,Richmondian,,449.5,443.7,61180,Echinodermata,30739,Stylophora,31153,Mitrata,31183,NO_FAMILY_SPECIFIED,NF,Diamphidiocystis,31196,NA,Diamphidiocystis,,,NA,sp.,
4749,occ,NA,NA,382,Savagella,genus,30790,Richmondian,,449.5,443.7,61180,Echinodermata,30739,Edrioasteroidea,30743,Isorophida,30744,Agelacrinitidae,85391,Savagella,30790,NA,Savagella,,,NA,illinoisensis,
4751,occ,NA,NA,382,Hystrichopsydrax,genus,30776,Richmondian,,449.5,443.7,61180,Echinodermata,30739,Edrioasteroidea,30743,Isorophida,30744,Agelacrinitidae,85391,Hystrichopsydrax,30776,NA,Hystrichopsydrax,n. gen.,,NA,sandersi,n. sp.
